model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
opt-125m,opt-13b,1.25,0.1,0.3,0.685,5.37,4.29,14.65,2,20.0,50.0,128,8.81,30.08
opt-125m,opt-13b,1.24,0.1,0.3,0.685,5.33,4.3,12.7,2,20.0,100.0,128,10.16,30.02
opt-125m,opt-13b,1.22,0.2,0.3,0.685,5.24,4.3,12.5,2,50.0,10.0,128,10.32,30.01
opt-125m,opt-13b,1.22,0.2,0.3,0.685,5.24,4.3,12.63,2,50.0,50.0,128,10.21,30.03
opt-125m,opt-13b,1.22,0.2,0.3,0.685,5.26,4.3,12.71,2,50.0,100.0,128,10.15,29.99
opt-125m,opt-13b,1.11,0.0,0.3,0.467,4.77,4.3,12.87,4,0.0,10.0,128,10.03,30.01
opt-125m,opt-13b,1.1,0.0,0.3,0.467,4.72,4.3,12.51,4,0.0,50.0,128,10.31,29.97
opt-125m,opt-13b,1.12,0.0,0.3,0.467,4.82,4.3,12.5,4,0.0,100.0,128,10.32,29.98
opt-125m,opt-13b,1.1,0.0,0.3,0.467,4.73,4.3,12.48,4,20.0,10.0,128,10.34,29.97
opt-125m,opt-13b,1.07,0.0,0.3,0.467,4.61,4.3,12.5,4,20.0,50.0,128,10.32,30.03
opt-125m,opt-13b,1.09,0.0,0.3,0.467,4.67,4.3,12.4,4,20.0,100.0,128,10.4,29.97
opt-125m,opt-13b,1.07,0.1,0.4,0.467,4.62,4.31,12.12,4,50.0,10.0,128,10.64,29.94
opt-125m,opt-13b,1.06,0.1,0.3,0.467,4.57,4.31,12.6,4,50.0,50.0,128,10.24,29.93
opt-125m,opt-13b,1.05,0.1,0.3,0.467,4.55,4.31,12.38,4,50.0,100.0,128,10.42,29.94
opt-125m,opt-13b,1.3,0.0,0.4,0.516,5.58,4.28,12.12,6,0.0,10.0,128,10.64,30.12
opt-125m,opt-13b,1.32,0.0,0.3,0.516,5.67,4.31,12.5,6,0.0,50.0,128,10.32,29.95
opt-125m,opt-13b,1.3,0.0,0.4,0.516,5.57,4.27,11.96,6,0.0,100.0,128,10.78,30.19
opt-125m,opt-13b,1.28,0.0,0.4,0.516,5.49,4.28,12.06,6,20.0,10.0,128,10.7,30.16
opt-125m,opt-13b,1.28,0.0,0.3,0.516,5.53,4.31,12.38,6,20.0,50.0,128,10.42,29.94
opt-125m,opt-13b,1.27,0.0,0.3,0.516,5.46,4.31,12.43,6,20.0,100.0,128,10.38,29.92
opt-125m,opt-13b,1.25,0.1,0.4,0.516,5.41,4.31,12.27,6,50.0,10.0,128,10.51,29.94
opt-125m,opt-13b,1.26,0.1,0.3,0.516,5.41,4.3,12.5,6,50.0,50.0,128,10.32,30.03
opt-125m,opt-13b,1.27,0.1,0.4,0.516,5.46,4.3,12.11,6,50.0,100.0,128,10.65,29.97
opt-125m,opt-13b,0.86,0.0,0.3,0.304,3.7,4.31,12.64,8,0.0,10.0,128,10.2,29.96
opt-125m,opt-13b,0.85,0.0,0.3,0.304,3.68,4.31,12.42,8,0.0,50.0,128,10.39,29.92
opt-125m,opt-13b,0.87,0.0,0.3,0.304,3.76,4.32,12.52,8,0.0,100.0,128,10.3,29.89
opt-125m,opt-13b,0.85,0.0,0.4,0.304,3.68,4.31,12.3,8,20.0,10.0,128,10.49,29.94
opt-125m,opt-13b,0.85,0.0,0.3,0.304,3.66,4.32,12.49,8,20.0,50.0,128,10.33,29.88
opt-125m,opt-13b,0.85,0.0,0.4,0.304,3.67,4.31,12.24,8,20.0,100.0,128,10.54,29.94
opt-125m,opt-13b,0.84,0.0,0.3,0.304,3.61,4.31,12.65,8,50.0,10.0,128,10.2,29.91
opt-125m,opt-13b,0.84,0.0,0.4,0.304,3.63,4.31,12.22,8,50.0,50.0,128,10.56,29.96
opt-125m,opt-13b,0.84,0.0,0.3,0.304,3.63,4.31,12.58,8,50.0,100.0,128,10.25,29.93
