model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,gamma,rtt_ms,bw_Mbps,prompt_len

(Homogenuesou exp)
opt-125m,opt-13b,1.22,0.0,0.1,0.375,5.11,4.17,59.98,4,0.0,100.0,128,2.15,30.92
opt-125m,opt-13b,1.18,0.1,0.1,0.375,4.94,4.17,42.56,4,20.0,10.0,128,3.03,30.91
opt-125m,opt-13b,1.28,0.1,0.1,0.375,5.3,4.15,36.11,4,20.0,50.0,128,3.57,31.11
opt-125m,opt-13b,1.37,0.1,0.1,0.375,5.73,4.19,29.99,4,20.0,100.0,128,4.3,30.77
opt-125m,opt-13b,1.25,0.2,0.1,0.375,5.21,4.16,72.29,4,50.0,10.0,128,1.78,30.97
opt-125m,opt-13b,1.17,0.1,0.1,0.375,4.88,4.16,69.31,4,50.0,50.0,128,1.86,31.03
opt-125m,opt-13b,1.22,0.2,0.0,0.375,5.1,4.17,100.69,4,50.0,100.0,128,1.28,30.95
opt-125m,opt-13b,1.47,0.0,0.0,0.349,6.16,4.18,101.03,6,0.0,10.0,128,1.28,30.86
opt-125m,opt-13b,1.49,0.0,0.1,0.349,6.25,4.18,70.63,6,0.0,50.0,128,1.83,30.84
opt-125m,opt-13b,1.48,0.0,0.0,0.349,6.18,4.18,85.46,6,0.0,100.0,128,1.51,30.83
opt-125m,opt-13b,1.33,0.0,0.1,0.349,5.59,4.22,73.17,6,20.0,10.0,128,1.76,30.58
opt-125m,opt-13b,1.24,0.0,0.1,0.349,5.19,4.18,57.46,6,20.0,50.0,128,2.24,30.85
opt-125m,opt-13b,1.75,0.1,0.1,0.349,7.27,4.15,54.64,6,20.0,100.0,128,2.36,31.08
opt-125m,opt-13b,1.79,0.2,0.1,0.349,7.42,4.15,63.08,6,50.0,10.0,128,2.05,31.1
opt-125m,opt-13b,1.57,0.2,0.1,0.349,6.49,4.14,30.34,6,50.0,50.0,128,4.25,31.17
opt-125m,opt-13b,1.6,0.2,0.1,0.349,6.57,4.11,30.87,6,50.0,100.0,128,4.18,31.35
opt-125m,opt-13b,1.49,0.0,0.1,0.215,6.25,4.18,64.53,8,0.0,10.0,128,2.0,30.85
