model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,gamma,rtt_ms,bw_Mbps,prompt_len
opt-125m,opt-6.7b,1.59,0.103,1.72,0.354,12.19,7.65,6,20.0,100.0,100
opt-125m,opt-6.7b,1.55,0.279,1.773,0.354,11.85,7.66,6,50.0,10.0,100
opt-125m,opt-6.7b,1.45,0.239,1.862,0.354,11.12,7.65,6,50.0,50.0,100
opt-125m,opt-6.7b,1.54,0.267,1.801,0.354,11.67,7.58,6,50.0,100.0,100
opt-125m,opt-6.7b,2.0,0.0,1.794,0.335,15.33,7.67,8,0.0,10.0,100
opt-125m,opt-6.7b,1.96,0.0,1.856,0.335,15.0,7.67,8,0.0,50.0,100
opt-125m,opt-6.7b,1.95,0.0,1.842,0.335,14.99,7.67,8,0.0,100.0,100
opt-125m,opt-6.7b,1.81,0.083,1.97,0.335,13.84,7.67,8,20.0,10.0,100
opt-125m,opt-6.7b,1.7,0.074,2.052,0.335,12.87,7.56,8,20.0,50.0,100
opt-125m,opt-6.7b,2.03,0.083,2.012,0.335,14.11,6.96,8,20.0,100.0,100
opt-125m,opt-6.7b,1.84,0.231,2.045,0.335,14.08,7.65,8,50.0,10.0,100
opt-125m,opt-6.7b,1.77,0.221,2.047,0.335,13.6,7.66,8,50.0,50.0,100
opt-125m,opt-6.7b,1.78,0.23,1.994,0.335,13.67,7.67,8,50.0,100.0,100


opt-125m,opt-13b,1.6,0.0,1.225,0.5,7.03,4.39,2,0.0,10.0,100
opt-125m,opt-13b,1.68,0.0,1.188,0.5,7.41,4.4,2,0.0,50.0,100
opt-125m,opt-13b,1.49,0.0,1.221,0.5,7.28,4.89,2,0.0,100.0,100
opt-125m,opt-13b,1.44,0.209,1.256,0.5,6.99,4.87,2,20.0,10.0,100
opt-125m,opt-13b,1.47,0.213,1.253,0.5,7.05,4.81,2,20.0,50.0,100
opt-125m,opt-13b,1.48,0.227,1.241,0.5,7.13,4.83,2,20.0,100.0,100
opt-125m,opt-13b,1.38,0.549,1.31,0.5,6.67,4.83,2,50.0,10.0,100
opt-125m,opt-13b,1.38,0.56,1.307,0.5,6.69,4.83,2,50.0,50.0,100
opt-125m,opt-13b,1.4,0.578,1.301,0.5,6.73,4.82,2,50.0,100.0,100
opt-125m,opt-13b,1.59,0.0,1.302,0.331,7.68,4.83,4,0.0,10.0,100
opt-125m,opt-13b,1.63,0.0,1.287,0.331,7.81,4.79,4,0.0,50.0,100
opt-125m,opt-13b,1.56,0.0,1.324,0.331,7.48,4.8,4,0.0,100.0,100
opt-125m,opt-13b,1.52,0.13,1.376,0.331,7.3,4.79,4,20.0,10.0,100
opt-125m,opt-13b,1.52,0.134,1.361,0.331,7.27,4.79,4,20.0,50.0,100
opt-125m,opt-13b,1.56,0.149,1.334,0.331,7.51,4.83,4,20.0,100.0,100
opt-125m,opt-13b,1.48,0.373,1.398,0.331,7.16,4.83,4,50.0,10.0,100
opt-125m,opt-13b,1.5,0.392,1.385,0.331,7.24,4.82,4,50.0,50.0,100
